energy_keV,mass_atten_coeff_cm2_g
0.0,-3079.627974027182
0.015001500150015001,-2290.4080600131892
0.030003000300030003,-1535.2914665369717
0.045004500450045004,-813.6658217766926
0.060006000600060005,-124.91875391050417
0.075007500750075,531.5621088834305
0.09000900090009001,1156.3891384269555
0.10501050105010501,1750.1747065418967
0.12001200120012001,2313.5311850501203
0.135013501350135,2847.0709457734556
0.15001500150015,3351.4063605337433
0.16501650165016502,3827.1498011528274
0.18001800180018002,4274.913639452545
0.19501950195019502,4695.310247254736
0.21002100210021002,5088.951996381247
0.22502250225022502,5456.451258653913
0.24002400240024002,5798.420405894585
0.255025502550255,6115.471809925099
0.27002700270027,6408.217842567292
0.285028502850285,6677.270875643015
0.3000300030003,6923.2432809741
0.31503150315031503,7146.747430382391
0.33003300330033003,7348.395695689731
0.34503450345034503,7528.800448717962
0.36003600360036003,7688.5740612889185
0.37503750375037503,7828.328905224452
0.39003900390039004,7948.677352346395
0.40504050405040504,8050.231774476594
0.42004200420042004,8133.604543436888
0.43504350435043504,8199.408031049119
0.45004500450045004,8248.254609135129
0.46504650465046504,8280.756649516754
0.48004800480048004,8297.526524015842
0.49504950495049505,8299.176604454231
0.51005100510051,8286.319262653764
0.525052505250525,8259.56687043628
0.54005400540054,8219.531799623623
0.555055505550555,8166.826422037631
0.57005700570057,8102.063109500146
0.585058505850585,8025.854233833011
0.6000600060006,7938.812166858067
0.6150615061506151,7841.549280397156
0.6300630063006301,7734.677946272115
0.6450645064506451,7618.810536304789
0.6600660066006601,7494.5594223170165
0.6750675067506751,7362.536976130643
0.6900690069006901,7223.355569567507
0.7050705070507051,7077.627574449449
0.7200720072007201,6925.965362598311
0.7350735073507351,6768.981305835935
0.7500750075007501,6607.287775984163
0.7650765076507651,6441.497144864834
0.7800780078007801,6272.22178429979
0.7950795079507951,6100.074066110871
0.8100810081008101,5925.666362119922
0.8250825082508251,5749.611044148781
0.8400840084008401,5572.520484019291
0.8550855085508551,5395.007053553291
0.8700870087008701,5217.683124572624
0.8850885088508851,5041.161068899131
0.9000900090009001,4866.053258354654
0.9150915091509151,4692.972064761033
0.9300930093009301,4522.529859940109
0.9450945094509451,4355.339015713725
0.9600960096009601,4192.01190390372
0.9750975097509751,4033.160896331937
0.9900990099009901,3879.398364820216
1.005100510051005,3731.3366811903993
1.02010201020102,3589.5882172643273
1.035103510351035,3454.765344863842
1.05010501050105,3299.432365907727
1.065106510651065,3169.3251300984693
1.08010801080108,3148.1227833108205
1.095109510951095,3095.9021559415196
1.11011101110111,3005.4864101910425
1.125112511251125,2889.491915810547
1.14011401140114,2760.5350425511915
1.155115511551155,2631.2321601641343
1.17011701170117,2514.1996384005324
1.185118511851185,2421.5082118577784
1.2001200120012,2334.6087410099894
1.215121512151215,2242.6889307742535
1.2301230123012301,2150.878392321593
1.2451245124512451,2064.306736823032
1.2601260126012601,1988.103575449593
1.2751275127512751,1927.3985193723004
1.2901290129012901,1887.3211797621761
1.3051305130513051,1882.9993971022484
1.3201320132013201,1875.1318444465512
1.3351335133513351,1853.227656345694
1.3501350135013501,1819.4156149580263
1.3651365136513651,1775.8245024418984
1.3801380138013801,1724.583100955661
1.3951395139513951,1667.8201926576633
1.4101410141014101,1607.6645597062563
1.4251425142514251,1546.24498425979
1.4401440144014401,1485.6902484766142
1.4551455145514551,1428.1291345150792
1.4701470147014701,1375.690424533535
1.4851485148514851,1330.5029006903324
1.5001500150015001,1294.6948028195693
1.5151515151515151,1264.5009636017144
1.5301530153015301,1234.9469185089822
1.5451545154515451,1206.0244429454672
1.5601560156015601,1177.725312315263
1.5751575157515751,1150.0413020224642
1.5901590159015901,1122.9641874711647
1.6051605160516051,1096.4857440654584
1.6201620162016201,1070.5977472094394
1.6351635163516351,1045.2919723072018
1.6501650165016502,1020.56019476284
1.6651665166516652,996.3941899804473
1.6801680168016802,972.7857333641185
1.6951695169516952,949.7266003179476
1.7101710171017102,927.2085662460285
1.7251725172517252,905.2234065524553
1.7401740174017402,883.7628966413221
1.7551755175517552,862.8188119167228
1.7701770177017702,842.3829277827517
1.7851785178517852,822.4470196435028
1.8001800180018002,803.0028629030701
1.8151815181518152,784.0422329655479
1.8301830183018302,765.5569052350303
1.8451845184518452,747.5386551156108
1.8601860186018602,729.9792580113841
1.8751875187518752,712.8704893264442
1.8901890189018902,696.2041244648848
1.9051905190519052,679.9719388308002
1.9201920192019202,664.1657078282847
1.9351935193519352,648.777206861432
1.9501950195019502,633.7982113343364
1.9651965196519652,619.2204966510919
1.9801980198019802,605.0358382157926
1.9951995199519952,591.2360114325328
2.01020102010201,577.4989824787356
2.025202520252025,563.0881698535112
2.04020402040204,548.4391494482303
2.055205520552055,534.0659035702107
2.07020702070207,520.4824145267702
2.085208520852085,508.20266462522676
2.1002100210021,497.74063617289823
2.115211521152115,489.6103114771026
2.13021302130213,484.3256728451578
2.145214521452145,482.40070258438163
2.16021602160216,709.2922243620598
2.175217521752175,703.2589434648893
2.19021902190219,693.9950162641352
2.205220522052205,682.1961428900122
2.22022202220222,668.5580234727356
2.235223522352235,653.7763581425203
2.25022502250225,638.5468470295812
2.265226522652265,623.5651902641331
2.28022802280228,609.5270879763914
2.295229522952295,597.1282402965704
2.31023102310231,586.602003042599
2.325232523252325,575.5658065865927
2.34023402340234,563.8800797813404
2.355235523552355,551.91628257288
2.37023702370237,540.0458749072494
2.385238523852385,528.6403167304863
2.4002400240024,518.0710679886289
2.415241524152415,508.7095886277146
2.43024302430243,500.9273385937815
2.4452445244524452,495.09577783286744
