energy_keV,mass_atten_coeff_cm2_g
0.0,6252.0
0.0750375187593797,6252.0
0.1500750375187594,6252.0
0.2251125562781391,6252.0
0.3001500750375188,6252.0
0.3751875937968985,6252.0
0.4502251125562782,6252.0
0.5252626313156579,6252.0
0.6003001500750376,6252.0
0.6753376688344173,6252.0
0.750375187593797,6252.0
0.8254127063531767,6252.0
0.9004502251125563,6252.0
0.975487743871936,6252.0
1.0505252626313157,4836.901097343769
1.1255627813906954,4306.504815516983
1.2006003001500751,3811.767201204155
1.2756378189094548,3360.901402650345
1.3506753376688345,2962.120568100615
1.4257128564282142,2623.6378458000286
1.500750375187594,2353.6638628351084
1.5757878939469736,2132.9725910190864
1.6508254127063533,1936.5618596420406
1.725862931465733,1762.478744952062
1.8009004502251127,1608.770323197243
1.8759379689844924,1473.4836706256763
1.950975487743872,1354.6658634854534
2.026013006503252,1249.2394643398857
2.1010505252626315,1144.3398849556813
2.176088044022011,1042.2683773063238
2.251125562781391,949.9519371780696
2.326163081540771,874.3175603571774
2.4012006003001503,822.2922426299058
2.4762381190595297,800.802979782512
2.5512756378189096,1773.0973486586963
2.6263131565782896,2449.80903090031
2.701350675337669,2397.361210100035
2.7763881940970485,2308.393244153272
2.8514257128564284,2196.9544224352335
2.9264632316158083,2077.09403432113
3.001500750375188,1962.7902094836431
3.0765382691345673,2144.6544100443703
3.151575787893947,2067.3572885405447
3.226613306653327,1925.6044282912171
3.3016508254127066,1795.5355094474985
3.376688344172086,1682.7903816027606
3.451725862931466,1571.1814458775623
3.526763381690846,1502.3165390125575
3.6018009004502254,1558.6731811829816
3.676838419209605,1466.2118920597864
3.7518759379689848,1385.087116172711
3.8269134567283647,1316.797259920913
3.901950975487744,1343.7115867502594
3.9769884942471236,1269.3213467290502
4.052026013006504,1217.0355943711425
4.1270635317658835,1169.1021391191753
4.202101050525263,1122.4887343626679
4.277138569284642,1077.2795439524841
4.352176088044022,1033.5587317394877
4.427213606803402,991.4104615745409
4.502251125562782,950.9188973085086
4.577288644322161,912.1682027922536
4.652326163081542,875.2425418766389
4.727363681840921,840.2260784125288
4.8024012006003005,807.2029762507863
4.87743871935968,776.2573992422747
4.9524762381190595,747.4735112378578
5.02751375687844,720.8416374258414
5.102551275637819,695.4019124732877
5.177588794397199,670.8929301671897
5.252626313156579,647.3285491998964
5.327663831915959,624.7226282637579
5.402701350675338,603.0890260511226
5.4777388694347176,582.4416012543401
5.552776388194097,562.7942125657596
5.627813906953477,544.1607186777298
5.702851425712857,526.5549782826007
5.777888944472236,509.99085007272106
5.852926463231617,494.48219274044004
5.927963981990996,480.0428649781071
6.003001500750376,466.68609296682104
6.078039019509755,453.9972934300432
6.153076538269135,441.6130307362517
6.228114057028515,429.53184240145043
6.303151575787894,417.7522659416441
6.378189094547274,406.2728388728366
6.453226613306654,395.092098711032
6.528264132066034,384.20858297223475
6.603301650825413,373.6208291724489
6.678339169584793,363.3273748276788
6.753376688344172,353.32675745392834
6.8284142071035525,343.61751456720185
6.903451725862932,334.19818368350366
6.9784892446223115,325.0673023188378
7.053526763381692,316.22340798920845
7.128564282141071,307.66503821061997
7.203601800900451,299.3907304990765
7.27863931965983,291.39902237058203
7.35367683841921,283.688451341141
7.42871435717859,276.2575549267574
7.5037518759379696,269.10487064343556
7.578789394697349,262.2289360071796
7.653826913456729,255.62828853399367
7.728864432216109,249.30146573988216
7.803901950975488,243.2470051408491
7.878939469734868,237.46344425289865
7.953976988494247,231.9493205920351
8.029014507253628,226.69249596228482
8.104052026013008,221.58637955487825
8.179089544772387,216.60306819641465
8.254127063531767,211.7415474545469
8.329164582291146,207.00080289692838
8.404202101050526,202.3798200912119
8.479239619809906,197.8775846050507
8.554277138569285,193.49308200609798
8.629314657328665,189.22529786200664
8.704352176088044,185.07321774042987
8.779389694847424,181.03582720902068
8.854427213606805,177.11211183543224
8.929464732366183,173.30105718731775
9.004502251125563,169.60164883233003
9.079539769884944,166.0128723381224
9.154577288644322,162.53371327234794
9.229614807403703,159.1631572026596
9.304652326163083,155.90018969671058
9.379689844922462,152.74379632215403
9.454727363681842,149.69296264664288
9.52976488244122,146.7466742378304
9.604802401200601,143.90391666336953
9.679839919959981,141.16367549091342
9.75487743871936,138.52493628811527
9.82991495747874,135.986684622628
9.904952476238119,133.5479060621049
9.9799899949975,131.20758617419884
10.05502751375688,128.9363959642784
10.130065032516258,126.66219911533767
10.205102551275639,124.38442376886428
10.280140070035019,122.10629235536872
10.355177588794398,119.83102730536146
10.430215107553778,117.56185104935278
10.505252626313158,115.30198601785318
10.580290145072537,113.05465464137308
10.655327663831917,110.82307935042282
10.730365182591296,108.61048257551292
10.805402701350676,106.42008674715363
10.880440220110057,104.25511429585549
10.955477738869435,102.11878765212892
11.030515257628815,100.0143292464842
11.105552776388194,97.94496150943189
11.180590295147574,95.91390687148231
11.255627813906955,93.92438776314587
11.330665332666333,91.97962661493305
11.405702851425714,90.0828458573542
11.480740370185094,88.23726792091972
11.555777888944473,86.44611523614009
11.630815407703853,84.71261023352565
11.705852926463233,83.03997534358683
11.780890445222612,81.43143299683409
11.855927963981992,79.89020562377777
11.930965482741371,78.41951565492835
12.006003001500751,77.02258552079613
12.081040520260132,75.70263765189164
12.15607803901951,74.46289447872525
12.23111555777889,73.30657843180732
12.30615307653827,72.23691194164833
12.38119059529765,71.25711743875866
12.45622811405703,70.37041735364872
12.531265632816408,69.58003411682893
12.606303151575789,68.88919015880968
12.68134067033517,68.30110791010141
12.756378189094548,67.81900980121452
12.831415707853928,67.44611826265941
